post_id,registrationNumber,body,count_comments,count_likes
5c9c1f6cf8ded10001880fed,nan,bonjour tout le monde,0,6
5c9c1f6cf8ded10001880fee,nan,bonjour tout le monde,0,10
5c9c1f6cf8ded10001880fef,nan,bonjour tout le monde,0,5
5c9c1f6cf8ded10001880ff0,00039,bonjour tout le monde,3,33
5c9cb646f8ded10001880ff9,00109,bonjour tout le monde,2,18
5c9cd5b9f8ded10001880ffc,00066,bonjour tout le monde,2,18
5c9cdfd8f8ded10001880ffe,00150,bonjour tout le monde,0,35
5c9d3aa8f8ded10001881001,00039,bonjour tout le monde,0,0
5c9d3aa8f8ded10001881002,00039,bonjour tout le monde,0,0
5c9d3aa8f8ded10001881003,00039,bonjour tout le monde,3,27
5c9d3d55f8ded10001881004,00039,bonjour tout le monde,0,25
5c9e18fef8ded10001881008,00129,bonjour tout le monde,11,22
5c9e2195f8ded1000188100a,00006,bonjour tout le monde,9,21
5c9e23abf8ded1000188100b,00141,bonjour tout le monde,0,1
5c9e23abf8ded1000188100c,00141,bonjour tout le monde,2,25
5c9e5764f8ded10001881019,00054,bonjour tout le monde,1,0
5c9e5764f8ded1000188101a,00054,bonjour tout le monde,0,0
5c9e5764f8ded1000188101b,00054,bonjour tout le monde,1,18
5c9e635af8ded1000188101e,00079,bonjour tout le monde,2,9
5c9e635af8ded1000188101f,00079,bonjour tout le monde,15,36
5ca116b8f8ded10001881032,00169,bonjour tout le monde,0,20
5ca1f0f6f8ded10001881039,00126,bonjour tout le monde,4,32
5ca2020df8ded1000188103c,00138,bonjour tout le monde,14,33
5ca234baf8ded1000188104d,00132,bonjour tout le monde,0,0
5ca234baf8ded1000188104e,00132,bonjour tout le monde,0,0
5ca234baf8ded1000188104f,00132,bonjour tout le monde,30,31
5ca3433df8ded10001881072,00138,bonjour tout le monde,8,30
5ca35915f8ded10001881076,00136,bonjour tout le monde,13,34
5ca36d97f8ded10001881080,00122,bonjour tout le monde,0,0
5ca36d97f8ded10001881081,00122,bonjour tout le monde,0,0
5ca36d97f8ded10001881082,00122,bonjour tout le monde,0,0
5ca36d97f8ded10001881083,00122,bonjour tout le monde,1,17
5ca36de8f8ded10001881084,00122,bonjour tout le monde,0,0
5ca36de8f8ded10001881085,00122,bonjour tout le monde,0,0
5ca36de8f8ded10001881086,00122,bonjour tout le monde,3,23
5ca37d95f8ded10001881089,00033,bonjour tout le monde,18,24
5ca37f52f8ded1000188108a,00126,bonjour tout le monde,0,2
5ca37f52f8ded1000188108b,00126,bonjour tout le monde,0,0
5ca37f52f8ded1000188108c,00126,bonjour tout le monde,4,27
5ca3faeff8ded100018810a0,00138,bonjour tout le monde,15,32
5ca4b050f8ded100018810ba,00026,bonjour tout le monde,8,35
5ca4e39ef8ded100018810c1,00092,bonjour tout le monde,18,38
5ca5b6f33d85920001708fce,00004,bonjour tout le monde,15,33
